pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,sy_dist,st_teff,st_mass,st_rad,DBSCAN_Cluster,Cluster_Name,LOF_Score,LOF_Label,Potential_Outlier,Outlier_Status
Kepler-1090 c,Kepler-1090,Transit,2021,42.42720032,3.29265785,0.29375176,10.9,0.0342,496.0,858.77,5330.0,0.869,1.013,1,Cluster 1,1.0685980703961917,1,False,Normal
EPIC 220492298 b,EPIC 220492298,Transit,2021,0.762406,0.99,0.08832204,0.937,0.00295,,624.512,5620.0,0.95,0.89,1,Cluster 1,1.019871806813823,1,False,Normal
EPIC 206024342 c,EPIC 206024342,Transit,2021,0.911724,1.4,0.12489985,2.54,0.008,,369.888,5724.0,0.928,1.1,1,Cluster 1,0.9852947264498868,1,False,Normal
Kepler-1760 b,Kepler-1760,Transit,2021,38.3260994,2.28995546,0.20429649,5.86,0.0184,480.0,,5229.0,0.821,0.903,1,Cluster 1,0.9786064205987373,1,False,Normal
Kepler-1777 b,Kepler-1777,Transit,2021,12.18420029,2.13189678,0.19019542,5.19,0.0163,819.0,619.146,5771.0,0.984,1.068,1,Cluster 1,0.9716908385241441,1,False,Normal
K2-275 c,K2-275,Transit,2018,8.4388385,2.21,0.19716333,5.52,0.0174,653.0,123.438,4841.0,0.77,0.69,1,Cluster 1,0.9796561693609529,1,False,Normal
K2-275 b,K2-275,Transit,2018,3.2809626,2.34,0.20876118,6.08,0.0191,1166.0,123.438,4841.0,0.77,0.69,1,Cluster 1,1.1495501537590296,1,False,Normal
Kepler-1775 b,Kepler-1775,Transit,2021,85.65399933,3.64762153,0.32541956,12.9,0.0406,522.0,657.023,5818.0,1.149,1.647,1,Cluster 1,1.3224197343832103,1,False,Normal
Kepler-1797 b,Kepler-1797,Transit,2021,23.3593998,3.05774442,0.27279416,9.58,0.0301,684.0,1338.49,6244.0,1.069,1.009,1,Cluster 1,1.1055168748782518,1,False,Normal
Kepler-1798 b,Kepler-1798,Transit,2021,16.85589981,2.30911251,0.20600557,5.94,0.0187,408.0,395.196,3967.0,0.593,0.587,1,Cluster 1,0.9736047554213225,1,False,Normal
TIC 172900988 b,TIC 172900988 Aa,Transit,2021,200.452,11.25,1.0036595,942.0,2.96386345,361.24,250.956,6050.0,1.2384,1.3842,0,Cluster 0,1.1490728332823286,1,False,Normal
HD 93385 d,HD 93385,Radial Velocity,2021,45.85,2.89,0.258,8.7,0.02737326,619.44,43.3475,5977.0,1.04,1.18484,1,Cluster 1,1.0093100987843027,1,False,Normal
OGLE-2018-BLG-0567L b,OGLE-2018-BLG-0567L,Microlensing,2021,,12.3,1.1,101.70509024,0.32,,7060.0,,0.25,,5,Cluster 5,1.12205755175016,1,False,Normal
